product_id,product_name,actual_price,discounted_price,discounted_amount,discount_percentage,category,subcategory,rating,rating_count,ranking
B09NTHQRW3,"InstaCuppa Portable Blender for Smoothie, Milk Shakes, Crushing Ice and Juices, USB Rechargeable Personal Blender Machine for Kitchen with 2000 mAh Rechargeable Battery, 150 Watt Motor, 400 ML",29.99,23.99,6.0,0.2,Home & Kitchen,Kitchen & Home Appliances,4.1,1034.0,Very Good
B008YW3CYM,USHA EI 1602 1000 W Lightweight Dry Iron with Non-Stick Soleplate (Multi-colour),14.28,7.39,6.89,0.48,Home & Kitchen,Kitchen & Home Appliances,4.1,37126.0,Very Good
B07QHHCB27,KENT 16044 Hand Blender Stainless Steel 400 W | Variable Speed Control | Easy to Clean and Store | Low Noise Operation,25.2,17.99,7.210000000000001,0.29,Home & Kitchen,Kitchen & Home Appliances,4.1,6355.0,Very Good
B0BMFD94VD,"White Feather Portable Heat Sealer Mini Sealing Machine for Food Storage Vacuum Bag, Chip, Plastic, Snack Bags, Package Home Closer Storage Tool (Multicolor) Random Colour",5.99,2.39,3.6,0.6,Home & Kitchen,Kitchen & Home Appliances,3.3,12.0,Good
B00HZIOGXW,Crompton IHL 152 1500-Watt Immersion Water Heater with Copper Heating Element (Black),9.9,7.32,2.58,0.26,Home & Kitchen,"Heating, Cooling & Air Quality",4.1,13165.0,Very Good
B09CKSYBLR,"InstaCuppa Rechargeable Mini Electric Chopper - Stainless Steel Blades, One Touch Operation, for Mincing Garlic, Ginger, Onion, Vegetable, Meat, Nuts, (White, 250 ML, Pack of 1, 45 Watts)",17.99,11.99,5.999999999999998,0.33,Home & Kitchen,Kitchen & Home Appliances,4.1,1646.0,Very Good
B072J83V9W,Philips PowerPro FC9352/01 Compact Bagless Vacuum Cleaner (Blue),119.94,107.99,11.950000000000003,0.1,Home & Kitchen,Kitchen & Home Appliances,4.4,17994.0,Very Good
B09MTLG4TP,"SAIELLIN Electric Lint Remover for Clothes Fabric Shaver Lint Shaver for Woolen Clothes Blanket Jackets Stainless Steel Blades, Clothes and Furniture Lint Roller for Fabrics Portable Lint Shavers (White Orange)",11.99,5.44,6.55,0.55,Home & Kitchen,Kitchen & Home Appliances,4.3,610.0,Very Good
B097XJQZ8H,"Cookwell Bullet Mixer Grinder (5 Jars, 3 Blades, Silver)",72.0,29.57,42.43,0.59,Home & Kitchen,Kitchen & Home Appliances,4.1,8866.0,Very Good
B00935MD1C,"Prestige PRWO 1.8-2 700-Watts Delight Electric Rice Cooker with 2 Aluminium Cooking Pans - 1.8 Liters, White",47.34,32.63,14.71,0.31,Home & Kitchen,Kitchen & Home Appliances,3.7,13406.0,Good
B0BR4F878Q,"Swiffer Instant Electric Water Heater Faucet Tap Home-Kitchen Instantaneous Water Heater Tank less for Tap, LED Electric Head Water Heaters Tail Gallon Comfort(3000W) ((Pack of 1))",23.99,17.27,6.719999999999999,0.28,Home & Kitchen,"Heating, Cooling & Air Quality",4.8,53803.0,Very Good
B0B3G5XZN5,"InstaCuppa Portable Blender for Smoothie, Milk Shakes, Crushing Ice and Juices, USB Rechargeable Personal Blender Machine for Kitchen with 4000 mAh Rechargeable Battery, 230 Watt Motor, 500 ML",41.99,33.59,8.399999999999999,0.2,Home & Kitchen,Kitchen & Home Appliances,4.5,546.0,Very Good
B07WKB69RS,"Lifelong LLWH106 Flash 3 Litres Instant Water Heater for Home Use, 8 Bar Pressure,Power On/Off Indicator and Advanced Safety, (3000W, ISI Certified, 2 Years Warranty)",66.6,25.06,41.53999999999999,0.62,Home & Kitchen,"Heating, Cooling & Air Quality",4.0,5292.0,Very Good
B09DL9978Y,"Hindware Atlantic Compacto 3 Litre Instant water heater with Stainless Steel Tank, Robust Construction, Pressure Relief Valve And I-thermostat Feature (White And Grey)",55.08,28.79,26.29,0.48,Home & Kitchen,"Heating, Cooling & Air Quality",4.1,444.0,Very Good
B06XMZV7RH,ATOM Selves-MH 200 GM Digital Pocket Scale,5.99,3.7,2.29,0.38,Home & Kitchen,Kitchen & Home Appliances,3.9,4584.0,Good
B09WMTJPG7,Crompton InstaBliss 3-L Instant Water Heater (Geyser) with Advanced 4 Level Safety,52.8,31.19,21.609999999999996,0.41,Home & Kitchen,"Heating, Cooling & Air Quality",4.1,14947.0,Very Good
B09ZK6THRR,"Croma 1100 W Dry Iron with Weilburger Dual Soleplate Coating (CRSHAH702SIR11, White)",12.0,5.75,6.25,0.52,Home & Kitchen,Kitchen & Home Appliances,4.2,1559.0,Very Good
B07MP21WJD,"Lint Roller with 40 Paper Sheets, 22 x 5 cm (Grey)",3.59,2.94,0.6499999999999999,0.18,Home & Kitchen,Kitchen & Home Appliances,4.1,1660.0,Very Good
B09XB1R2F3,"Portable Lint Remover Pet Fur Remover Clothes Fuzz Remover Pet Hairball Quick Epilator Shaver Removing Dust Pet Hair from Clothing Furniture Perfect for Clothing,Furniture,Couch,Carpet (Standard)",9.59,2.15,7.4399999999999995,0.78,Home & Kitchen,Kitchen & Home Appliances,3.5,132.0,Good
